2020-05-16 10:39:50.868,subject,in hand,sitting,unknown,10
2020-05-16 10:40:06.369,subject,in hand,sitting,unknown,10
2020-05-16 10:40:21.868,subject,in hand,sitting,unknown,10
2020-05-16 10:40:37.369,subject,in hand,sitting,unknown,10
2020-05-16 10:40:52.869,subject,in hand,sitting,unknown,10
2020-05-16 10:41:08.381,subject,in hand,sitting,unknown,10
2020-05-16 10:41:23.849,subject,in hand,sitting,unknown,10
2020-05-16 10:41:39.335,subject,in hand,sitting,unknown,10
2020-05-16 10:42:10.017,subject,in hand,sitting,unknown,12
2020-05-16 10:42:25.299,subject,in hand,sitting,unknown,12
2020-05-16 10:42:40.802,subject,in hand,sitting,unknown,12
2020-05-16 10:42:56.302,subject,in hand,sitting,unknown,12
2020-05-16 10:43:11.816,subject,in hand,sitting,unknown,12
2020-05-16 10:43:27.302,subject,in hand,sitting,unknown,12
2020-05-16 10:43:42.802,subject,in hand,sitting,unknown,12
2020-05-16 10:43:58.305,subject,in hand,sitting,unknown,12
2020-05-16 10:44:34.998,subject,in hand,sitting,unknown,15
2020-05-16 10:44:50.509,subject,in hand,sitting,unknown,15
2020-05-16 10:45:06.004,subject,in hand,sitting,unknown,15
2020-05-16 10:45:21.503,subject,in hand,sitting,unknown,15
2020-05-16 10:45:37.006,subject,in hand,sitting,unknown,15
2020-05-16 10:45:52.499,subject,in hand,sitting,unknown,15
2020-05-16 10:46:08.004,subject,in hand,sitting,unknown,15
2020-05-16 10:46:23.502,subject,in hand,sitting,unknown,15
2020-05-16 10:27:33.284,subject,in hand,sitting,unknown,3
2020-05-16 10:27:48.801,subject,in hand,sitting,unknown,3
2020-05-16 10:28:03.849,subject,in hand,sitting,unknown,3
2020-05-16 10:28:19.335,subject,in hand,sitting,unknown,3
2020-05-16 10:28:34.838,subject,in hand,sitting,unknown,3
2020-05-16 10:28:50.338,subject,in hand,sitting,unknown,3
2020-05-16 10:29:05.850,subject,in hand,sitting,unknown,3
2020-05-16 10:29:21.334,subject,in hand,sitting,unknown,3
2020-05-16 10:30:07.401,subject,in hand,sitting,unknown,4
2020-05-16 10:30:22.904,subject,in hand,sitting,unknown,4
2020-05-16 10:30:38.066,subject,in hand,sitting,unknown,4
2020-05-16 10:30:53.571,subject,in hand,sitting,unknown,4
2020-05-16 10:31:08.848,subject,in hand,sitting,unknown,4
2020-05-16 10:31:24.099,subject,in hand,sitting,unknown,4
2020-05-16 10:31:39.608,subject,in hand,sitting,unknown,4
2020-05-16 10:31:55.032,subject,in hand,sitting,unknown,4
2020-05-16 10:32:32.801,subject,in hand,sitting,unknown,5
2020-05-16 10:32:48.302,subject,in hand,sitting,unknown,5
2020-05-16 10:33:03.809,subject,in hand,sitting,unknown,5
2020-05-16 10:33:18.848,subject,in hand,sitting,unknown,5
2020-05-16 10:33:34.165,subject,in hand,sitting,unknown,5
2020-05-16 10:33:49.676,subject,in hand,sitting,unknown,5
2020-05-16 10:34:05.187,subject,in hand,sitting,unknown,5
2020-05-16 10:34:20.698,subject,in hand,sitting,unknown,5
2020-05-16 10:34:49.563,subject,in hand,sitting,unknown,6
2020-05-16 10:35:05.073,subject,in hand,sitting,unknown,6
2020-05-16 10:35:20.567,subject,in hand,sitting,unknown,6
2020-05-16 10:35:36.031,subject,in hand,sitting,unknown,6
2020-05-16 10:35:51.533,subject,in hand,sitting,unknown,6
2020-05-16 10:36:07.035,subject,in hand,sitting,unknown,6
2020-05-16 10:36:22.535,subject,in hand,sitting,unknown,6
2020-05-16 10:36:38.039,subject,in hand,sitting,unknown,6
2020-05-16 10:37:26.747,subject,in hand,sitting,unknown,8
2020-05-16 10:37:42.235,subject,in hand,sitting,unknown,8
2020-05-16 10:37:57.736,subject,in hand,sitting,unknown,8
2020-05-16 10:38:13.235,subject,in hand,sitting,unknown,8
2020-05-16 10:38:28.736,subject,in hand,sitting,unknown,8
2020-05-16 10:38:43.849,subject,in hand,sitting,unknown,8
2020-05-16 10:38:59.362,subject,in hand,sitting,unknown,8
2020-05-16 10:39:14.833,subject,in hand,sitting,unknown,8
