2020-05-12 15:15:56.873,beacon, ,iPhone XR,10
2020-05-12 15:16:12.055,beacon, ,iPhone XR,10
2020-05-12 15:16:27.455,beacon, ,iPhone XR,10
2020-05-12 15:16:42.966,beacon, ,iPhone XR,10
2020-05-12 15:16:58.478,beacon, ,iPhone XR,10
2020-05-12 15:17:13.956,beacon, ,iPhone XR,10
2020-05-12 15:17:29.390,beacon, ,iPhone XR,10
2020-05-12 15:17:44.903,beacon, ,iPhone XR,10
2020-05-12 15:18:11.255,beacon, ,iPhone XR,12
2020-05-12 15:18:26.488,beacon, ,iPhone XR,12
2020-05-12 15:18:41.993,beacon, ,iPhone XR,12
2020-05-12 15:18:57.460,beacon, ,iPhone XR,12
2020-05-12 15:19:12.860,beacon, ,iPhone XR,12
2020-05-12 15:19:28.327,beacon, ,iPhone XR,12
2020-05-12 15:19:43.827,beacon, ,iPhone XR,12
2020-05-12 15:19:59.327,beacon, ,iPhone XR,12
2020-05-12 15:20:28.423,beacon, ,iPhone XR,15
2020-05-12 15:20:43.862,beacon, ,iPhone XR,15
2020-05-12 15:20:59.295,beacon, ,iPhone XR,15
2020-05-12 15:21:14.762,beacon, ,iPhone XR,15
2020-05-12 15:21:30.096,beacon, ,iPhone XR,15
2020-05-12 15:21:45.596,beacon, ,iPhone XR,15
2020-05-12 15:22:00.963,beacon, ,iPhone XR,15
2020-05-12 15:22:16.479,beacon, ,iPhone XR,15
2020-05-12 15:03:10.128,beacon, ,iPhone XR,3
2020-05-12 15:03:25.707,beacon, ,iPhone XR,3
2020-05-12 15:03:31.109,beacon, ,iPhone XR,3
2020-05-12 15:03:46.471,beacon, ,iPhone XR,3
2020-05-12 15:04:01.981,beacon, ,iPhone XR,3
2020-05-12 15:04:05.582,beacon, ,iPhone XR,3
2020-05-12 15:04:20.878,beacon, ,iPhone XR,3
2020-05-12 15:04:36.278,beacon, ,iPhone XR,3
2020-05-12 15:04:51.472,beacon, ,iPhone XR,3
2020-05-12 15:05:06.945,beacon, ,iPhone XR,3
2020-05-12 15:05:22.446,beacon, ,iPhone XR,3
2020-05-12 15:05:37.953,beacon, ,iPhone XR,3
2020-05-12 15:05:53.379,beacon, ,iPhone XR,3
2020-05-12 15:06:17.070,beacon, ,iPhone XR,4
2020-05-12 15:06:32.580,beacon, ,iPhone XR,4
2020-05-12 15:06:48.047,beacon, ,iPhone XR,4
2020-05-12 15:07:03.280,beacon, ,iPhone XR,4
2020-05-12 15:07:18.580,beacon, ,iPhone XR,4
2020-05-12 15:07:34.081,beacon, ,iPhone XR,4
2020-05-12 15:07:49.581,beacon, ,iPhone XR,4
2020-05-12 15:08:05.095,beacon, ,iPhone XR,4
2020-05-12 15:08:30.455,beacon, ,iPhone XR,5
2020-05-12 15:08:45.972,beacon, ,iPhone XR,5
2020-05-12 15:09:01.476,beacon, ,iPhone XR,5
2020-05-12 15:09:16.849,beacon, ,iPhone XR,5
2020-05-12 15:09:32.182,beacon, ,iPhone XR,5
2020-05-12 15:09:47.583,beacon, ,iPhone XR,5
2020-05-12 15:10:03.083,beacon, ,iPhone XR,5
2020-05-12 15:10:18.583,beacon, ,iPhone XR,5
2020-05-12 15:10:48.072,beacon, ,iPhone XR,6
2020-05-12 15:11:03.583,beacon, ,iPhone XR,6
2020-05-12 15:11:19.101,beacon, ,iPhone XR,6
2020-05-12 15:11:34.584,beacon, ,iPhone XR,6
2020-05-12 15:11:50.102,beacon, ,iPhone XR,6
2020-05-12 15:12:05.585,beacon, ,iPhone XR,6
2020-05-12 15:12:20.718,beacon, ,iPhone XR,6
2020-05-12 15:12:36.218,beacon, ,iPhone XR,6
2020-05-12 15:13:07.047,beacon, ,iPhone XR,8
2020-05-12 15:13:22.452,beacon, ,iPhone XR,8
2020-05-12 15:13:37.852,beacon, ,iPhone XR,8
2020-05-12 15:13:53.319,beacon, ,iPhone XR,8
2020-05-12 15:14:08.587,beacon, ,iPhone XR,8
2020-05-12 15:14:23.720,beacon, ,iPhone XR,8
2020-05-12 15:14:39.153,beacon, ,iPhone XR,8
2020-05-12 15:14:54.587,beacon, ,iPhone XR,8
