2020-05-11 23:57:27.431,subject,shirt pocket,sitting,unknown,10
2020-05-11 23:57:42.613,subject,shirt pocket,sitting,unknown,10
2020-05-11 23:57:58.113,subject,shirt pocket,sitting,unknown,10
2020-05-11 23:58:13.613,subject,shirt pocket,sitting,unknown,10
2020-05-11 23:58:29.113,subject,shirt pocket,sitting,unknown,10
2020-05-11 23:58:44.614,subject,shirt pocket,sitting,unknown,10
2020-05-11 23:59:00.114,subject,shirt pocket,sitting,unknown,10
2020-05-11 23:59:15.614,subject,shirt pocket,sitting,unknown,10
2020-05-11 23:59:44.402,subject,shirt pocket,sitting,unknown,12
2020-05-11 23:59:59.814,subject,shirt pocket,sitting,unknown,12
2020-05-12 00:00:15.314,subject,shirt pocket,sitting,unknown,12
2020-05-12 00:00:30.814,subject,shirt pocket,sitting,unknown,12
2020-05-12 00:00:46.313,subject,shirt pocket,sitting,unknown,12
2020-05-12 00:01:01.714,subject,shirt pocket,sitting,unknown,12
2020-05-12 00:01:17.170,subject,shirt pocket,sitting,unknown,12
2020-05-12 00:01:32.614,subject,shirt pocket,sitting,unknown,12
2020-05-12 00:02:06.919,subject,shirt pocket,sitting,unknown,15
2020-05-12 00:02:22.171,subject,shirt pocket,sitting,unknown,15
2020-05-12 00:02:37.614,subject,shirt pocket,sitting,unknown,15
2020-05-12 00:02:53.114,subject,shirt pocket,sitting,unknown,15
2020-05-12 00:03:08.614,subject,shirt pocket,sitting,unknown,15
2020-05-12 00:03:24.114,subject,shirt pocket,sitting,unknown,15
2020-05-12 00:03:39.614,subject,shirt pocket,sitting,unknown,15
2020-05-12 00:03:55.114,subject,shirt pocket,sitting,unknown,15
2020-05-11 23:45:45.095,subject,shirt pocket,sitting,unknown,3
2020-05-11 23:46:00.610,subject,shirt pocket,sitting,unknown,3
2020-05-11 23:46:16.111,subject,shirt pocket,sitting,unknown,3
2020-05-11 23:46:31.611,subject,shirt pocket,sitting,unknown,3
2020-05-11 23:46:47.111,subject,shirt pocket,sitting,unknown,3
2020-05-11 23:47:02.168,subject,shirt pocket,sitting,unknown,3
2020-05-11 23:47:17.677,subject,shirt pocket,sitting,unknown,3
2020-05-11 23:47:33.178,subject,shirt pocket,sitting,unknown,3
2020-05-11 23:48:10.448,subject,shirt pocket,sitting,unknown,4
2020-05-11 23:48:25.911,subject,shirt pocket,sitting,unknown,4
2020-05-11 23:48:41.311,subject,shirt pocket,sitting,unknown,4
2020-05-11 23:48:56.811,subject,shirt pocket,sitting,unknown,4
2020-05-11 23:49:12.167,subject,shirt pocket,sitting,unknown,4
2020-05-11 23:49:27.612,subject,shirt pocket,sitting,unknown,4
2020-05-11 23:49:43.111,subject,shirt pocket,sitting,unknown,4
2020-05-11 23:49:58.612,subject,shirt pocket,sitting,unknown,4
2020-05-11 23:50:26.027,subject,shirt pocket,sitting,unknown,5
2020-05-11 23:50:41.512,subject,shirt pocket,sitting,unknown,5
2020-05-11 23:50:57.012,subject,shirt pocket,sitting,unknown,5
2020-05-11 23:51:12.168,subject,shirt pocket,sitting,unknown,5
2020-05-11 23:51:27.612,subject,shirt pocket,sitting,unknown,5
2020-05-11 23:51:43.112,subject,shirt pocket,sitting,unknown,5
2020-05-11 23:51:58.623,subject,shirt pocket,sitting,unknown,5
2020-05-11 23:52:14.112,subject,shirt pocket,sitting,unknown,5
2020-05-11 23:52:48.259,subject,shirt pocket,sitting,unknown,6
2020-05-11 23:53:03.412,subject,shirt pocket,sitting,unknown,6
2020-05-11 23:53:18.812,subject,shirt pocket,sitting,unknown,6
2020-05-11 23:53:34.312,subject,shirt pocket,sitting,unknown,6
2020-05-11 23:53:49.812,subject,shirt pocket,sitting,unknown,6
2020-05-11 23:54:05.312,subject,shirt pocket,sitting,unknown,6
2020-05-11 23:54:20.813,subject,shirt pocket,sitting,unknown,6
2020-05-11 23:54:36.313,subject,shirt pocket,sitting,unknown,6
2020-05-11 23:55:06.650,subject,shirt pocket,sitting,unknown,8
2020-05-11 23:55:22.169,subject,shirt pocket,sitting,unknown,8
2020-05-11 23:55:37.613,subject,shirt pocket,sitting,unknown,8
2020-05-11 23:55:53.113,subject,shirt pocket,sitting,unknown,8
2020-05-11 23:56:08.622,subject,shirt pocket,sitting,unknown,8
2020-05-11 23:56:24.125,subject,shirt pocket,sitting,unknown,8
2020-05-11 23:56:39.313,subject,shirt pocket,sitting,unknown,8
2020-05-11 23:56:54.413,subject,shirt pocket,sitting,unknown,8
