beacon-subject-1,beacon-subject-2,Range-1,Angle-1,Bluetooth-1,Bluetooth-2,Bluetooth-3,Bluetooth-4,Bluetooth-5,Heading-1,Heading-2,Heading-3,Heading-4,Heading-5,Heading-6,Accelerometer-1,Accelerometer-2,Accelerometer-3,Gyroscope-1,Gyroscope-2,Gyroscope-3,Attitude-1,Attitude-2,Attitude-3,Gravity-1,Gravity-2,Gravity-3,Bucket-Id,Distance
front pants pocket, standing, 10.0, 0.0, 3D00C868-68AB-05DC-157E-E0387A8ED531, -70.78508341511285, BlueProxTx, -697.2965328467153, 502967007.63459957, 117.71184832550759, 131.9666406498399, 13.344844962275305, -21.123877281366394, -15.451209644938624, -5.202911864879519, 0.011834169045472756, -0.43665137657752406, -0.7479787973257211, 0.22209414193102153, -0.47344041076609583, 0.3494127045818261, 0.43957031705426747, -0.10254100946939644, 0.7997349130994598, -0.05679501431623999, -0.38836998263230693, -0.6988412469076232, 0, 10
front pants pocket, standing, 10.0, 315.0, B02B52BC-E0D6-37D7-CB72-64EAF12FC879, -73.64615384615385, BlueProxTx, -485.66153846153844, 611616997.2408832, 331.2313537597656, 345.6252136230469, 15.87347936630249, 3.794522285461426, -45.26622009277344, -1.8397750854492188, -0.0051422119140625, -0.9673538208007812, 0.26512908935546875, 0.06154152378439903, -0.32677359133958817, -0.005030711297877133, 1.2959499509861485, -0.00772489026280776, 1.8087672343843815, 0.0021225083619356155, -0.9624662697315216, 0.27131444215774536, 86399, 10
front pants pocket, standing, 10.0, 0.0, F0481576-4A9C-2865-F53B-302FBFB341DE, -72.37003058103976, BlueProxTx, -714.8825187969925, 509500321.34540695, 109.12636750204521, 85.49485114582798, 13.173537572224935, -16.69296452037075, -0.7071043984931812, 11.464049422950076, -0.27354108370267427, -0.18645770733173078, -0.35222655076246995, 0.09836769215531115, 0.02402410378374373, 0.13106901760812778, 0.25804121562518545, -0.6426886847954093, 0.2635007353961278, -0.2343530662742873, -0.1948893629014492, -0.3163461731030391, 1, 10
front pants pocket, standing, 10.0, 0.0, 3D00C868-68AB-05DC-157E-E0387A8ED531, -67.54265873015873, BlueProxTx, -755.8270120259019, 500917005.4335231, 173.16048537983613, 166.27433530022117, 12.768745029673857, -20.63318095487707, 6.80874740376192, 24.3828924964456, -0.1306633582481971, -0.1843584500826322, -0.31804715670072115, 0.01577265801677669, -0.13378429036785253, 0.24408791448449824, 0.16977098100332963, -0.3477842973139333, 0.10665151804713666, -0.11160849810291368, -0.15588658231382185, -0.2841488053762497, 2, 10
front pants pocket, standing, 10.0, 0.0, BADD9AD5-0C37-790E-5812-68C25DCE46CA, -67.5834879406308, BlueProxTx, -696.1863675582399, 512563710.4099566, 110.15917250315348, 100.49622122446696, 13.314453887939454, -22.283146158854166, 26.18903350830078, 79.76958491007487, -0.06152813251201923, -0.10372161865234375, -0.2617436922513522, 0.05546028684021257, 0.020361380124612978, 0.08531662995509216, 0.11855081428327069, -0.2284369768879819, -0.21958800264795122, -0.064304961452133, -0.10499870748474048, -0.25854846349774074, 3, 10
front pants pocket, standing, 10.0, 0.0, FF49751B-E227-F2C6-B92B-CDF05CEA3A15, -69.97165200391007, BlueProxTx, -690.8116469517744, 522757025.24106175, 160.14545059204102, 174.4591064453125, 13.740732669830322, -20.227981567382812, 40.32321548461914, 70.26984405517578, -0.08014062734750602, -0.10903343787560096, -0.2641155536358173, -0.038066835822432574, 0.00684082051735126, -0.0177507008326229, 0.1179656244917067, -0.32663072857096653, -0.3473554508590781, -0.07355177455107108, -0.10619835097056168, -0.26096215256704736, 4, 10
front pants pocket, standing, 10.0, 0.0, BADD9AD5-0C37-790E-5812-68C25DCE46CA, -70.73131313131313, BlueProxTx, -713.1206261510129, 516617881.81892985, 130.77063903808593, 145.1028045654297, 12.489740371704102, -57.41435241699219, 125.3091796875, 192.6159210205078, -0.08192033034104568, -0.10574898352989784, -0.27789042546198917, 0.02621075987462122, -0.06497798108430913, -0.017785988031690566, 0.13452008262809062, -0.31759627245643696, -0.39169466498052513, -0.08533104319268695, -0.12070452907545796, -0.2671064679654172, 5, 10
front pants pocket, standing, 10.0, 0.0, BADD9AD5-0C37-790E-5812-68C25DCE46CA, -72.59535333978702, BlueProxTx, -724.5840867992766, 491268112.81716704, 130.77063903808593, 145.1028045654297, 12.489740371704102, -57.41435241699219, 125.3091796875, 192.6159210205078, -0.09960996187650241, -0.13765980647160456, -0.2728157043457031, -0.021114355741307267, 0.0007260957916132179, -0.01518341877901692, 0.15754996440510968, -0.3121738809593288, -0.3979747024718296, -0.09378373349598125, -0.1403889830868978, -0.27189465952911773, 6, 10
front pants pocket, standing, 10.0, 0.0, 2EBADFE6-3529-8933-C175-90E3E9D5D6FF, -71.74215033301617, BlueProxTx, -713.0806737588653, 505516876.23892593, 83.19571876525879, 97.55873489379883, 14.159112453460693, -34.077667474746704, 44.594940185546875, 90.82637786865234, -0.09287144587590145, -0.1397681603064904, -0.2845816979041466, -0.02667291036471521, 0.013415858213950416, -0.012104697231016627, 0.15479733846426907, -0.16760688725773998, -0.048290547069336553, -0.0857278233273134, -0.13696264303647554, -0.2833587956041671, 7, 10
front pants pocket, standing, 10.0, 45.0, BADD9AD5-0C37-790E-5812-68C25DCE46CA, -72.67722772277227, BlueProxTx, -695.0387453874539, 494466060.6990977, 126.05746078491211, 140.3855768839518, 15.27841854095459, -2.396958351135254, -47.74710591634115, 2.7965774536132812, -0.07530036339393029, -0.12623478816105768, -0.30341163048377406, -0.02337390416808046, 0.005407277456029461, -0.010394082346267815, 0.13563736360424025, -0.01005832227979027, 0.280841555144628, -0.0707853836311887, -0.1260010706475721, -0.30086739791127354, 8, 10
